Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2021-10-24,Superman Returns,2006,https://boxd.it/2eeWDl,,Yes,,2021-10-23
2021-11-20,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/2ixGFf,2.5,,,2021-11-10
